asin,text,title,location_and_date,verified,rating
B09G9FPHY6,"1st iPad. Have 2 iPhones, Mac mini M1. (Owned MacBook and iMac previously.) Easy setup by restoring my iPhone to the iPad. Great quality as expected with Apple! Good price for an early Christmas present from my wife.",Awesome!,"Reviewed in the United States 🇺🇸 on November 20, 2022",True,5.0
B09G9FPHY6,"I’ve wanted a new iPad. I still have my first generation iPad! I can’t use it anymore, so I have wanted a new one for so long. I’ll use it for shopping, messaging, texting, sending and checking emails, paying bills, and more!",A fantastic gift for me!,"Reviewed in the United States 🇺🇸 on November 23, 2022",True,5.0
B09G9FPHY6,This is my first Apple product. Very happy and impressed with how fast and intuitive it is. The screen layout is good and the screen resolution is amazing. There are a multitude of useful apps and widgets. Overall I’m very pleased with my purchase.,Very Impressed,"Reviewed in the United States 🇺🇸 on November 19, 2022",True,5.0
B09G9FPHY6,"This was a purchase for my son to replace a slightly older model of the same brand, the 8th gen.  The older model we handed down to another family member because it still runs perfectly. We just wanted a little more space, the 8th gen was only a 32gb hard drive, and this new 9th gen has 64gb which should be just right for his needs for some years.  Every device we own from this brand, gets used to its fullest potential or passed to someone in the family when we upgrade.  If we discover my son needs 256gb well, this one will probably replace another even older 6th gen someone in the fam is still using!  That one still works great too though! Zero issues.Amazing quality always!  This iPad runs smoothly, the sound, video and image quality is great, and the battery life is great.  Most importantly, this brand offers built in security for peace of mind! It is also very reasonably priced for the excellent quality you get.  We are happy customers!",Awesome as Always,"Reviewed in the United States 🇺🇸 on November 3, 2022",True,5.0
B09G9FPHY6,"I wasn’t sure that I wanted a bigger IPad having used a mini for many years but am very happy with this 10.2 inch I-Pad- the screen is so much  bigger and much better for reading articles etc.,  the quality of the pictures and the quality of the sound when I listen to music;  the battery life is also very  good. Very leased with my purchase.",Nice size IPad,"Reviewed in the United States 🇺🇸 on November 4, 2022",True,5.0
B09G9FPHY6,"When Apple announced the new iPad 10, I was told Amazon was offering the 9th generation product for a $60 discount.  Since I was looking to upgrade a very old, hand me down iPad Air, this was exactly what I needed. Should provide me everything I need in a tablet for the next several years; what an outstanding value.","I didn't need the ""latest and greatest""","Reviewed in the United States 🇺🇸 on November 20, 2022",True,5.0
B09G9FPHY6,"It’s an iPad, that’s all I can say. You can’t tell it was refurbished, it looks like a brand new iPad. This thing works just like a laptop.",iPad,"Reviewed in the United States 🇺🇸 on November 27, 2022",True,5.0
B09G9FPHY6,I'm opening a Petting Zoo and needed it for my Square payment ! The battery lasts a long time and I love the touch screen  ! My 10 year old Granddaughter uses it to take payment from Customers !,Very good quality  ! I Love it,"Reviewed in the United States 🇺🇸 on November 17, 2022",True,5.0
B09G9FPHY6,"This IPad is great for value! My 2 elementary children needed a tablet for school homework. When I went school, we had the trusty pad and paper. These days everything is all driven. My 5 year old and 10 year old love these tablets.",Great for Children School apps,"Reviewed in the United States 🇺🇸 on November 20, 2022",True,5.0
B09G9FPHY6,"The iPad's battery seems to last for a day or so if you arent using it as much. It came in great condition. My gf loved it so much. It is great to use for notes, and watching videos. It has a big screen.",great for school/work,"Reviewed in the United States 🇺🇸 on November 21, 2022",True,5.0
B09G9FPHY6,"I just received it yesterday, and since I am an android person,  I took it to my Geek Squad to  show me how to use it, and he had no problem whatsoever.  I was told it was just like my Apple iphone, (myonly Apple device, which I must have for my Apple watch)  and so far it seems to be so. I brought it home and connected to my wifi with no problem whatsoever.  I have received my emails, seen my wonderful photos from my iphone etc.  Everything on my iphone was immediately copied to my new tablet almost miraculously.  The box it came in was pristine, and beautiful.  So far I have no complaints, and have not had it long enough to know about the battery life.  I think it is beautiful and am looking forward to watching Netflix on it etc.  As I was told, it is just like a BIG IPHONE, except that I did not get cellular service.  I will update if I have any problems.",So far I am delighted with this lovely tablet!,"Reviewed in the United States on October 20, 2022",True,5.0
B09G9FPHY6,"I had the fire tablet since it began and always upgraded.  After the most recent model started annoying me with it’s slowness, I decided to try this out.  I LOVE it!  It’s fast, has split screen, all the apps I get on Google play are available here.  Definitely happy!",Great upgrade from Fire tablet,"Reviewed in the United States on November 16, 2022",True,5.0
B09G9FPHY6,I was very hesitant to buy this iPad because I wasn’t sure if it was authentic since it’s sold on amazon. However it’s amazing!! I love it so much! Will come in handy as a college student. Amazing for its price!,College Student,"Reviewed in the United States on November 15, 2022",True,5.0
B09G9FPHY6,Reviewing this product roughly one year after purchase. Still working good as new I have not had any issues. I use as a casual app browsing/game/video player and not for work. Came exactly as described and set up was easy.,Full year later still working good as new,"Reviewed in the United States on November 21, 2022",True,5.0
B09G9FPHY6,Ipad came in brand new package. Works just fine so far! I have no issues! My son is happy with his new iPad.,Came brand new packaging.,"Reviewed in the United States on November 26, 2022",True,5.0
B09G9FPHY6,"I have had several iPad's. I like the quality and the sharp images. The memory is fantastic and the storage, although meager compared to my old iPad mini 4(64GB versus 128GB), I am quite happy to get a great product for a lower price than the pricing that you would pay at the Apple Store.",Well worth the $299 price tag.,"Reviewed in the United States on November 22, 2022",True,5.0
B09G9FPHY6,"I thought I was buying refurbed Ipad, which was fine with me.  But I believe I received a new one.  Still sealed in factory plastic and accessories were still in their original cases.  Very pleased.  This review is for a 2021 9th generation with 64gb memory.  Just what I wanted, to replace my previous older iPad with one with more memory and better speed.  I can’t say that all are new, but I think mine is.",Dry Pleased,"Reviewed in the United States on November 21, 2022",True,5.0
B09G9FPHY6,Definitely buy this is you’re on a budget and you need an iPad. The screen quality is great and the home button is easy to access. I would especially recommend for students,Definitely buy if you want an iPad and you’re on a budget,"Reviewed in the United States on November 25, 2022",True,5.0
B09G9FPHY6,"For those who wonder, this is brand new in the box, 2021 9th generation. It is NOT refurbed or an exchange. It is never opened and shrink wrapped by Apple. (See my photos.) The reason it is so much cheaper than the other 2021 iPads is the 64gb storage. But with iCloud so ridiculously cheap for cloud storage, I just cannot see this 64gb as not getting the job done. I myself was curious about this low price buying me a refurb/exchange, but that is simply not the case here. I do, however, recommend you not go with 32gb. I believe even with an iCloud account, you will be sorry you didn’t go 64gb.And the ease of setting this up cannot be understated. I simply sat my iPhone 13 Pro Max next to it and all relevant files and Wi-Fi passwords were transferred over with no input from me. It looked to me that it will do that with Android and most laptops also, though I did not test that out. All photos also came over, and the ones I took after that transfer, I simply Air-Dropped them into this iPad. All in all, this is as simple as it gets for transferring files and photos. Apple has this stuff down to a science, believe me.This screen is incredible. If you are looking at a pre-Retina screen, you will be amazed at this 2021 version. This thing is very fast, the on screen keyboard is fast, accurate and very concise. Dealing with apps is easy, and Apple doesn’t load you down with bloat you’ll never use. It is claimed this has about 12 hours on a charge; what I’ve seen thus far leads me to believe that is accurate.All in all, I am extremely pleased with this purchase. You can’t always say you got what you paid for. But I can definitely say that with this. This is the entry level 2021 9th generation iPad, and it is exactly what I need. Go and get you one…",Incredible deal on incredible machine,"Reviewed in the United States on September 21, 2022",True,5.0
B09G9FPHY6,Extremely light for its size works great I can have all my apps and the necessary tools to do my job,Extremely light,"Reviewed in the United States on November 23, 2022",True,5.0
B09G9FPHY6,"I like the product very smooth and new.  Previously buy the same product with same price but refurbished and  I return it, take one month to get refund.  But this one I will keep it.",Good price on Amazon deals,"Reviewed in the United States 🇺🇸 on November 21, 2022",True,5.0
B09G9FPHY6,I sold my bulky desktop computer downsizing for moving into a new mobile home. I’ll admit it took me a long while to be able to say I like it. I honestly miss my desktop and will eventually purchase another one. I especially like the iPad to play games and listen to music.,Love my iPad.,"Reviewed in the United States 🇺🇸 on November 19, 2022",True,4.0
B09G9FPHY6,"I had the first issue iPad which became outdated and I eventually traded it in for a credit with Apple. Until now I had not replaced it. I saw this one on a deal during the prime deal days and decided to purchase. I am so glad I did. It is last years model but brand new in the sealed box. It looks great and works great, For my use mainly internet surfing, email, photos, and watching videos it works perfectly. It’s size and screen clarity is great, easy to use and configure all in all everything I expect from Apple. You won’t be disappointed with this iPad.",Love this ipad,"Reviewed in the United States 🇺🇸 on November 10, 2022",True,5.0
B09G9FPHY6,"I didn’t know what I was missing using my original iPad Air for all these years. This iPad is a BARGAIN for what you’re getting. 4K resolution, crisp and quick CPU, and amazing color quality. Won’t be needing an update for another 5 years.",Huge improvement over my old first gen iPad Air,"Reviewed in the United States 🇺🇸 on November 19, 2022",True,5.0
B09G9FPHY6,"From my computer tablet and phone I use Apple. It’s one of the easiest to use most secure and gives you so many things you can do on it it would take 20 pages to cover. Oh then it can do it. I had looked at this one for a while, because I needed to replace my other one which was Apple and it was still going strong after six years. I just didn’t have enough memory on it so I bought this one and I’ve not been disappointed.",It’s apple,"Reviewed in the United States 🇺🇸 on November 6, 2022",True,5.0
B09G9FPHY6,"I bought the iPad 9 because I had decided it was time to upgrade from my iPad Air 2 that I bought about 8 years ago. Honestly, while I could have gotten a different brand that cost less, I was impressed that my tablet had lasted so long. The battery had started to noticeably drain faster but that was the only problem I was having with it. After seeing how well Apple makes their products, I decided to stick with them when making my purchase. So far, the iPad 9 is performing well for me. I enjoy the screen resolution/response and it's bigger than my previous tablet. I mostly watch YouTube, check emails, and use it for things that my phone's screen is too small for. But, I've been wanting to get started with digital drawing and I feel that this tablet will be enough for me to get my feet wet. Maybe I can get another 8 years before upgrading again.",It was time for an upgrade,"Reviewed in the United States 🇺🇸 on October 28, 2022",True,5.0
B09G9FPHY6,"This is the 4th iPad I’ve purchased over the years.  My past two versions were minis.  The latest version, 4th gen. had an A8 chip.  The newest mini version is slightly larger and has an A15 chip.  It’s also about $200 more than this 9th gen. Ipad which has an A13 chip that processes substantially faster than my old mini. For my purposes, I could not justify the additional cost of the mini.  Totally happy with my decision.",Great price on this IPad,"Reviewed in the United States 🇺🇸 on November 16, 2022",True,5.0
B09G9FPHY6,"Ok..little old lady here, whose working life consisted of nothing but years and years of Windows, android phones, etc.  Just in last several years jumped hesitantly into Apple (phone, Ipad mini, etc.)LOVE LOVE LOVE my iPad mini but, thought..might be time to think about replacement..so, I saw the great price on this 10 inch tablet and thought I'd take a chance.  I am much more partial to the mini sized tablets, but thought I'd go for it...soooo, even after reading all the bu.......t comments here, thought I'd try, if i didn't like it., I'd return it.  1. Delivered on time, yayyy!  2. Package well protected, sealed, unblemished...perfect condition (and yeah..no fingerprints on  screen)  3. Ipad fired right up...70% charged  4. Ipad immediately began transferring info from iPhone that was sitting nearby.  Yayyyyy!!  No need for  reams of books, booklets, warnings, etc., etc.!!  5. EVERYTHING transferred from iPhone and IPad Mini...and I still had some 15 gig storage left on new  64 gig iPad  (just remember ...this is for my entertainment...not for work with diagrams, idiotic work  related emails about cleaning up my workspace, or 20 specs for items no one will ever use)  6.  Did a test run...everything worked exactly as I required, expected.  7.  Ultimate test...watched old Morse/Poirot shows I have in Prime..excellent quality!  love love love  8.  After 8 full hours...I had to recharge for a bit before I went to bed.  (charged fairly fast!)sooooooo...I'm keeping this jewel!!!!!Risk is there...evidently, if you believe the nutso crowd and their comments here.  It's a GREAT item, it's a fabulous deal, Christmas is coming...or if you need to have a worthy backup..,...DO IT!!!!",EXCELLENT buy!,"Reviewed in the United States 🇺🇸 on October 10, 2022",True,5.0
B09G9FPHY6,Great iPad for the price.  Of course I was so use to my old outdated slow one that having speedy page loads etc is wonderful.,Love it,"Reviewed in the United States 🇺🇸 on November 18, 2022",True,5.0
B09G9FPHY6,"My most recent iPad was lost in an airport, and I ordered this one.  I have managed to restore almost all the things I had on it, and it is much more responsive than my old one,  I do not do fancy games (just puzzle and Sudoku), and have found my original puzzle app but have not yet been able to find my original sudoku app.  But it suits my purposes very nicely, including being able to read books for my book clubs.",Works even better than my last one!,"Reviewed in the United States 🇺🇸 on November 9, 2022",True,5.0
B09G9FPHY6,Like the size for older persons hands. Added a protective case but hate the plastic screen in it. Effects the “touch” sensitivity. Over all very user friendly.,Easy to use,"Reviewed in the United States 🇺🇸 on November 14, 2022",True,5.0
B09G9FPHY6,I liked linking it to my iPhone for the set up!  Everything has worked great!,"Great iPad, easy to set up and use","Reviewed in the United States 🇺🇸 on November 27, 2022",True,5.0
B09G9FPHY6,Upgrade from an old air and much improved performance. Love center stage camera for video chat,It's much improved,"Reviewed in the United States 🇺🇸 on November 29, 2022",True,5.0
B09G9FPHY6,"This iPad is everything I expected it to be, I especially the battery life, up to 8 hours of continual usage. There is no need to hook up the recharge chord, it is also quick to recharge.Totally enjoying it",Dynamic Styling,"Reviewed in the United States 🇺🇸 on November 15, 2022",True,5.0
B09G9FPHY6,"La peor compra que he hecho. La tablet a 8 meses de comprarla empezó a dañarse, el wifi no lo quiere coger, he gastado más de $100 tratando de averiguar qué pasa y aún nada. No lo recomiendo",La compre en marzo 22,"Reviewed in the United States 🇺🇸 on November 14, 2022",True,5.0
B09G9FPHY6,"My daughter bought an iPad in 2021. I thought this is a 2021 version iPad, it should be the same. But, this one is thinner and lighter than that one. I'm not sure why. So far, I only can see these differences.",I think it's thin and light than others,"Reviewed in the United States 🇺🇸 on November 27, 2022",True,4.0
B09G9FPHY6,I was looking for a tablet that would provide a much better experience than my two previous Fire tablets.  I did research and read reviews from several tech sites.  The obvious choice was the IPad (9th Generation)..,Budget Tablet,"Reviewed in the United States 🇺🇸 on November 15, 2022",True,5.0
B09G9FPHY6,yo soy  un jugador de pubg mobile yesta tablet es muy buena porque corre a 90fps es algo que no todos pueden hacer ni el iphone 12 y no tiene lag le doy un 10 de 10,para jugar,"Reviewed in the United States 🇺🇸 on November 10, 2022",True,5.0
B09G9FPHY6,Works great but I thought on Wi-Fi I’d be able to send and receive all text messages. Was disappointed to find out I can only exchange with iPhones.,Almost perfect,"Reviewed in the United States 🇺🇸 on November 18, 2022",True,5.0
B09G9FPHY6,"Decided to buy this when the last Prime day deals was going on last month. I don’t regret it at all. I had a fire tablet before but I just couldn’t get used to it for some reason. I guess since I’ve always had Apple products, I’m more used to using them. Screen is great touchscreen. Even with the protector on it. Feels like it’s not even on there. Not much else to say about this. Definitely recommend to anyone wanting to buy a tablet",Excellent iPad,"Reviewed in the United States 🇺🇸 on November 3, 2022",True,5.0
B09G9FPHY6,Got this at a good price. Needed to replace my old iPad. Good screen size. I enjoy reading my novels etc on this iPad. Has great reminders and hints. Love it. I’m a satisfied customer.,Prefect for me.,"Reviewed in the United States on November 14, 2022",True,5.0
B09G9FPHY6,My old one died very good replacement price was very good.,Very good product.,"Reviewed in the United States on November 23, 2022",True,5.0
B09G9FPHY6,"I am so happy with this purchase. Although there were some negative reviews about the condition in which they arrived, I cannot complain.  It was packaged properly in the delivery box, the iPad arrived in a sealed, brand-new box.  I am thrilled I was able to purchase a 9th generation for this price.  Was very easy to set up...Apple walks you through the entire process and I couldn't be happier.  So happy I went back to an iPad.",So pleased!,"Reviewed in the United States on October 30, 2022",True,5.0
B09G9FPHY6,I’m so glad this was a true product and not some cheap or fake,Great product,"Reviewed in the United States on November 23, 2022",True,5.0
B09G9FPHY6,"This iPad is amazing, if you are consider buying one, please consider this since many people are tricked to buying models that are overkill for their needs. I promise you guys this model is enough for all of you, even gaming and drawing if you are a beginner","Spend less, love more","Reviewed in the United States on November 1, 2022",True,5.0
B09G9FPHY6,Great device. Hardware build and iOS functionality are excellentBUT...Weird little dead spots on touch screen. Good thing my life doesn't depend on responsiveness.And...The battery life (brand new full charge only lasts 24 hours of use) is nowhere near as good as my old three-year-old Samsung Galaxy Tab A (full charge lasted 48 hours even after three years).,Wonderful but little disappointments,"Reviewed in the United States on November 12, 2022",True,4.0
B09G9FPHY6,Es un regalo para mi hijo me parece muy bien,Excelente producto me encanta,"Reviewed in the United States on November 28, 2022",True,5.0
B09G9FPHY6,Since this one is my first ipad I didn't want anything too expensive. I love this one because it was a good and affordable option for me.I don't have any problems with it and I've been using it for months.,Works for me,"Reviewed in the United States on November 6, 2022",True,5.0
B09G9FPHY6,"Uno de los mejores puntos a favor en esta iPad es su batería, la van a amar. Además de la fluidez es una pasada. Recomendada.",La mejor compra.,"Reviewed in the United States on November 18, 2022",True,5.0
B09G9FPHY6,My old iPad was getting long in the tooth and apts would update due to its old iOS. Finding the iPad on Amazon and for a great price I couldn’t be happier.,Love this ipad,"Reviewed in the United States on November 11, 2022",True,5.0
B09G9FPHY6,Got this for reading and study. Great value. Quick and snappy. Battery lasts forever and charges quickly with the included charger.You can catch it at a fairly steep discount if you watch. My wife wants one now!,Fabulous value,"Reviewed in the United States 🇺🇸 on November 7, 2022",True,5.0
B09G9FPHY6,Honestly work the same as The newest one,Love it,"Reviewed in the United States 🇺🇸 on November 27, 2022",True,5.0
B09G9FPHY6,Great price and fast delivery.  Just what I ordered!,Great price & fast delivery!,"Reviewed in the United States 🇺🇸 on November 20, 2022",True,5.0
B09G9FPHY6,"If you’re anything like me you want something to watch shows on in you living room or bed, but you don’t like the TV, and your phone is too small. Well this is the perfect thing for you, the screen is just the right size and very crisp and clear(maybe better then my iPhone X), the responsiveness is excellent, and all of the streaming sites work with this perfectly. On top of that, my AirPods automatically switch between this and my phone, so I don’t have to worry about messing with the settings every time. However, the camera is only OK. And it feels very delicate, so I would pick up a case and get AppleCare+. The battery isn’t the best either, but should be enough to get through the day. Overall I definitely recommend this, especially for the price.",Perfect,"Reviewed in the United States 🇺🇸 on October 13, 2022",True,5.0
B09G9FPHY6,The thing I love the most about this iPad is the battery stays charged for a long time! I mainly use this to play games on and occasionally stream movies but I don’t have to charge it for at least 3-4 days!,I love it!,"Reviewed in the United States 🇺🇸 on November 4, 2022",True,5.0
B09G9FPHY6,Very good. Children like it very much,nice,"Reviewed in the United States 🇺🇸 on November 27, 2022",True,5.0
B09G9FPHY6,So far it's been great! I watch movies and draw in it and it's been serving the purpose quite well. Would recommend.,Great for the price!,"Reviewed in the United States 🇺🇸 on November 12, 2022",True,5.0
B09G9FPHY6,Great gift for a 10 year old.,Great for the price,"Reviewed in the United States 🇺🇸 on November 29, 2022",True,5.0
B09G9FPHY6,IPad still the best tablet machine out there for variety of apps and device screen quality. Processor fast enough for casual use.,Great value for this model.,"Reviewed in the United States 🇺🇸 on November 20, 2022",True,5.0
B09G9FPHY6,Nice product ! Enjoyed it,Great,"Reviewed in the United States 🇺🇸 on November 23, 2022",True,5.0
B09G9FPHY6,"This product has bright screen, good battery life and seems to be what I needed. However setting it up was a 4 hour project because NO INSTRUCTION WERE AVAILABLE.",Good item. Terrible setup.,"Reviewed in the United States 🇺🇸 on November 29, 2022",True,4.0
B09G9FPHY6,Ordered this ipad for my parents and they loved it. My parents use for watching videos and no issues for that.,Perfect gift to parents,"Reviewed in the United States 🇺🇸 on November 10, 2022",True,5.0
B09G9FPHY6,It's for a gift,Love the price paid for Christmas gift for grandson,"Reviewed in the United States 🇺🇸 on November 25, 2022",True,5.0
B09G9FPHY6,"Bought this mainly for reading comics and it has been perfect for it! I have also worked on some scripts, and integrated it with my Gmail and Google calendars. I don't own any other apple products and this has been easy to get used to and more readily accessible and far better to use than my Fire tablet",Great!,"Reviewed in the United States 🇺🇸 on October 28, 2022",True,5.0
B09G9FPHY6,Best screen quality out of all my Apple Products :):) Great Sound. I received two iPads but only paid for one. How do I return the extra one.,My daughter is two and loves this iPad ..,"Reviewed in the United States 🇺🇸 on November 12, 2022",True,5.0
B09G9FPHY6,Convenient  tool - lightweight - great for when you need to see images larger than a cell phone allows.,Great little tablet,"Reviewed in the United States 🇺🇸 on November 14, 2022",True,5.0
B09G9FPHY6,Very fast. Great screen.  Experience will tell about the battery - lasts a long time on a charge.,9th Generation iPad,"Reviewed in the United States 🇺🇸 on November 11, 2022",True,5.0
B09G9FPHY6,It's a Christmas present but it new so I don't expect any problems. I got a very good price,It's a Christmas present,"Reviewed in the United States 🇺🇸 on November 10, 2022",True,5.0
B09G9FPHY6,I am not a computer geek. I have an old Apple ipad 2016. It was so easy to set this new one up and transfer data by simply following what the Apple prompts told me. The Smart keyboard connected to the ipad all by its self. I am totally pleased with this unit. Quality plus!!!,Product as discribes,"Reviewed in the United States 🇺🇸 on October 20, 2022",True,5.0
B09G9FPHY6,Affordable without compromise,Affordable without compromise,"Reviewed in the United States 🇺🇸 on November 23, 2022",True,5.0
B09G9FPHY6,Love it. Entertainment,Ipad 9TH Generation,"Reviewed in the United States 🇺🇸 on November 19, 2022",True,5.0
B09G9FPHY6,Bought 4 as Christmas presents for 2021Amazon prime days came up and bought one for myself.  Everyone loves them,Best iPad for the price,"Reviewed in the United States 🇺🇸 on November 9, 2022",True,5.0
B09G9FPHY6,"If you’re anything like me you want something to watch shows on in you living room or bed, but you don’t like the TV, and your phone is too small. Well this is the perfect thing for you, the screen is just the right size and very crisp and clear(maybe better then my iPhone X), the responsiveness is excellent, and all of the streaming sites work with this perfectly. On top of that, my AirPods automatically switch between this and my phone, so I don’t have to worry about messing with the settings every time. However, the camera is only OK. And it feels very delicate, so I would pick up a case and get AppleCare+. The battery isn’t the best either, but should be enough to get through the day. Overall I definitely recommend this, especially for the price.",Perfect,"Reviewed in the United States 🇺🇸 on October 13, 2022",True,5.0
B09G9FPHY6,"I'm not much of an apple product person but I do buy them for people I don't want to provide tech support to. (Parents, In-laws, Wife, and Kids)I used to use the fire tablets because they were cheap and I thought that would keep the kids entertained, especially on road trips. This worked for movies and some games but there were always problems with how slow they become with updates, loss of battery life, etc.This ipad was a game changer.  I always knew they were the ""best tablets"" but I was also a bit in denial as well as just being somewhat anti-apple. With this on sale during prime day 2022 (July) I took a chance and bought one for the kids.This does everything as well or better (usually better) than previous tablets I had purchased because they were cheaper.I also didn't buy a case for it and my kids are brutal with these types of devices. To date, it is still in one piece, operational, and has no cracks in the screen.Sometimes it is worth paying a bit more for the name brand product and in this case I'm a believer.",Kids love it,"Reviewed in the United States 🇺🇸 on October 2, 2022",True,5.0
B09G9FPHY6,"I got this for my uncle to share with his grandson, and it is a great starter/introductory tablet for anyone wanting to get into the Apple ecosystem. It is more affordable than the iPad 10th gen (which is pretty much an iPad Air re-release) that just got announced by a landslide, and it has accessibility with the Apple Pen. The iPad 9th gen is zippy and smooth when opening apps or taking notes. Get a nice case for it, and you'll have this iPad for the next few years without issue. The parental controls are very easy to set up, and the User Interface is easy to navigate for both my uncle, who is in his 60s, and his grandson, who is 2. It's a win-win. Happy Birthday, uncle!",Still worth getting in late of 2022,"Reviewed in the United States 🇺🇸 on October 19, 2022",True,5.0
B09G9FPHY6,Early present for my son!  He loves it as he had an older Ipad 7th Gen.,Son loves it!,"Reviewed in the United States 🇺🇸 on November 15, 2022",True,5.0
B09G9FPHY6,very nice,"2021 Apple 10.2-inch iPad (Wi-Fi, 64GB)","Reviewed in the United States 🇺🇸 on November 20, 2022",True,5.0
B09G9FPHY6,"Having used an iPad mini for several years, I upgraded to this iPad 9th generation. Although I’m basically pleased with it, I’m discovering the smaller iPad mini has its advantages, and the larger screen & body make the upgrade slightly less convenient in terms of portability.",Definitely worth the price.,"Reviewed in the United States 🇺🇸 on November 4, 2022",True,4.0
B09G9FPHY6,This makes me so happy I got it as a gift for myself for my birthday!!,Awesome,"Reviewed in the United States 🇺🇸 on November 14, 2022",True,5.0
B09G9FPHY6,I love iPads. You can’t go wrong with them. They will spoil the dickens out of you though. You’ll never be satisfied with any other kind of pad.,iPads rule,"Reviewed in the United States 🇺🇸 on November 8, 2022",True,5.0
B09G9FPHY6,Gift,Love it,"Reviewed in the United States on November 28, 2022",True,5.0
B09G9FPHY6,Apple,Apple,"Reviewed in the United States on November 26, 2022",True,5.0
B09G9FPHY6,The price was really good for this unit. It had everything my wife needs,The price for what you get,"Reviewed in the United States on November 14, 2022",True,5.0
B09G9FPHY6,"Amazon, like always top drawer. No wonder their the the best out there!","number one product from Apple,","Reviewed in the United States on November 14, 2022",True,5.0
